TradingDate,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2013-01-02,4130.0,,,31526.0,11250.0,6573.0,24194.0,,,1481.0,3604.0,51988.0,,,4087.0,,,,4867.0,13660.0,,,11697.0,,,17014.0,,23659.0,,
2013-01-03,4059.0,,,33090.0,11144.0,6482.0,24194.0,,,1495.0,3549.0,51988.0,,,4087.0,,,,4752.0,13932.0,,,11991.0,,,17014.0,,23523.0,,
2013-01-04,4083.0,,,34733.0,11197.0,6573.0,24753.0,,,1544.0,3576.0,52503.0,,,4087.0,,,,4809.0,14068.0,,,12286.0,,,17014.0,,23931.0,,
2013-01-07,4083.0,,,36454.0,11250.0,6537.0,24753.0,,,1621.0,3604.0,54047.0,,,4246.0,,,,4809.0,14612.0,,,12622.0,,,17759.0,,23931.0,,
2013-01-08,4083.0,,,38253.0,11357.0,6862.0,25311.0,,,1692.0,3741.0,56621.0,,,4246.0,,,,5012.0,14883.0,,,13254.0,,,17971.0,,25018.0,,
2013-01-09,4321.0,,,36376.0,11730.0,7042.0,24877.0,,,1678.0,3686.0,59195.0,,,4269.0,,,,5012.0,15495.0,,,13338.0,,,17652.0,,25970.0,,
2013-01-10,4345.0,,,38175.0,12157.0,7132.0,25311.0,,,1685.0,3824.0,61769.0,,,4427.0,,,,5186.0,15699.0,,,13674.0,,,17652.0,,27194.0,,
2013-01-11,4345.0,,,36767.0,11890.0,7024.0,26552.0,,,1671.0,3851.0,61769.0,,,4223.0,,,,5244.0,15495.0,,,13506.0,,,17759.0,,28010.0,,
2013-01-14,4298.0,,,34968.0,11784.0,6807.0,27420.0,,,1642.0,3824.0,59710.0,,,4382.0,,,,5186.0,15223.0,,,13422.0,,,17759.0,,27058.0,,
2013-01-15,4345.0,,,34498.0,11944.0,6898.0,26862.0,,,1635.0,3906.0,59710.0,,,4087.0,,,,5331.0,15155.0,,,13464.0,,,17759.0,,27194.0,,
2013-01-16,4393.0,,,36376.0,11997.0,6970.0,27110.0,,,1657.0,3961.0,58680.0,,,4359.0,,,,5389.0,15155.0,,,13506.0,,,17971.0,,27058.0,,
2013-01-17,4274.0,,,34420.0,11837.0,6880.0,26055.0,,,1607.0,3879.0,57651.0,,,4359.0,,,,5244.0,14951.0,,,13254.0,,,18078.0,,26650.0,,
2013-01-18,4226.0,,,34968.0,11677.0,6844.0,25807.0,,,1607.0,3879.0,56621.0,,,4382.0,,,,5128.0,15291.0,,,13296.0,,,18078.0,,26514.0,,
2013-01-21,4178.0,,,34029.0,11410.0,6807.0,25249.0,,,1558.0,3851.0,55592.0,,,4382.0,,,,5157.0,15087.0,,,13085.0,,,17865.0,,26242.0,,
2013-01-22,4035.0,,,32855.0,11197.0,6699.0,25249.0,,,1530.0,3741.0,54562.0,,,4382.0,,,,4983.0,14951.0,,,12875.0,,,18247.0,,26242.0,,
2013-01-23,4059.0,,,33247.0,11144.0,6699.0,25249.0,,,1523.0,3741.0,54047.0,,,4496.0,,,,5012.0,14951.0,,,12791.0,,,18388.0,,26650.0,,
2013-01-24,4130.0,,,35515.0,11304.0,6862.0,25993.0,,,1628.0,3796.0,55077.0,,,4496.0,,,,5157.0,14951.0,,,13043.0,,,18388.0,,26922.0,,
2013-01-25,4226.0,,,37940.0,12050.0,7096.0,27792.0,,,1664.0,3824.0,58680.0,,,4496.0,,,,5331.0,15087.0,,,13674.0,,,18528.0,,27058.0,,
2013-01-28,4226.0,,,40287.0,12210.0,7187.0,28227.0,,,1671.0,3851.0,61254.0,,,4496.0,,,,5476.0,15495.0,,,13800.0,,,18809.0,,28554.0,,
2013-01-29,4274.0,,,41069.0,12530.0,7132.0,28227.0,,,1713.0,3851.0,62283.0,,,4496.0,,,,5505.0,15631.0,,,14305.0,,,18809.0,,28282.0,,
2013-01-30,4226.0,,,43025.0,12477.0,7367.0,28537.0,,,1776.0,3879.0,62798.0,,,4200.0,,,,5505.0,15495.0,,,14432.0,,,18809.0,,28010.0,,
2013-01-31,4226.0,,,41069.0,12263.0,7241.0,27730.0,,,1748.0,3824.0,61254.0,,,4314.0,,,,5389.0,15495.0,,,14305.0,,,18668.0,,27466.0,,
2013-02-01,4226.0,,,43807.0,12477.0,7132.0,27917.0,,,1734.0,3824.0,61254.0,,,4314.0,,,,5360.0,15495.0,,,14432.0,,,18809.0,,27738.0,,
2013-02-04,4202.0,,,45372.0,12263.0,7114.0,28537.0,,,1706.0,3769.0,59710.0,,,4314.0,,,,5389.0,15427.0,,,14179.0,,,18809.0,,27466.0,,
2013-02-05,4154.0,,,43807.0,12157.0,7078.0,28227.0,,,1734.0,3769.0,57651.0,,,4314.0,,,,5389.0,15427.0,,,14179.0,,,18809.0,,27058.0,,
2013-02-06,4202.0,,,46545.0,12477.0,7114.0,28723.0,,,1811.0,3824.0,57651.0,,,4314.0,,,,5563.0,15427.0,,,14516.0,,,18949.0,,28010.0,,
2013-02-07,4202.0,,,45372.0,12477.0,7150.0,28661.0,,,1832.0,3824.0,59710.0,,,4609.0,,,,5621.0,15223.0,,,14516.0,,,18949.0,,27738.0,,
2013-02-08,4250.0,,,46545.0,12637.0,7187.0,28971.0,,,1832.0,3879.0,59710.0,,,4609.0,,,,5621.0,15359.0,,,14516.0,,,18949.0,,27738.0,,
2013-02-18,4250.0,,,44981.0,12530.0,7223.0,28971.0,,,1846.0,3934.0,60224.0,,,4609.0,,,,5679.0,15291.0,,,14432.0,,,18528.0,,27738.0,,
2013-02-19,4202.0,,,45372.0,12370.0,7169.0,28537.0,,,1839.0,3906.0,58680.0,,,4609.0,,,,5592.0,15155.0,,,14263.0,,,18809.0,,27466.0,,
2013-02-20,4154.0,,,46545.0,12370.0,7132.0,28785.0,,,1846.0,3879.0,59710.0,,,4586.0,,,,5592.0,15019.0,,,14347.0,,,18809.0,,28282.0,,
2013-02-21,3939.0,,,43416.0,12104.0,6970.0,28537.0,,,1720.0,3769.0,57136.0,,,4269.0,,,,5215.0,14748.0,,,13464.0,,,18247.0,,27466.0,,
2013-02-22,4011.0,,,41852.0,11944.0,6952.0,28599.0,,,1741.0,3769.0,59195.0,,,4269.0,,,,5302.0,14680.0,,,13758.0,,,17967.0,,27738.0,,
2013-02-25,3987.0,,,43025.0,11730.0,6934.0,28723.0,,,1783.0,3741.0,60224.0,,,4269.0,,,,5302.0,14680.0,,,14095.0,,,18247.0,,28010.0,,
2013-02-26,3916.0,,,40287.0,10930.0,6663.0,27917.0,,,1678.0,3631.0,58680.0,,,4314.0,,,,5012.0,14408.0,,,13484.0,,,17545.0,,27466.0,,
2013-02-27,3939.0,,,39114.0,11250.0,6609.0,28599.0,,,1664.0,3631.0,57136.0,,,4314.0,,,,5157.0,14272.0,,,13484.0,,,17826.0,,27738.0,,
2013-02-28,3939.0,,,41852.0,10664.0,6681.0,28537.0,,,1699.0,3686.0,57651.0,,,4314.0,,,,5244.0,14680.0,,,14095.0,,,18809.0,,28010.0,,
2013-03-01,3963.0,,,44198.0,10824.0,6681.0,28723.0,,,1685.0,3659.0,58680.0,,,4291.0,,,,5244.0,14951.0,,,14138.0,,,18528.0,,28010.0,,
2013-03-04,3916.0,,,41460.0,10237.0,6537.0,28351.0,,,1572.0,3604.0,59195.0,,,4496.0,,,,5012.0,13932.0,,,14007.0,,,19089.0,,27738.0,,
2013-03-05,3892.0,,,39505.0,9917.0,6446.0,28041.0,,,1530.0,3604.0,58680.0,,,4496.0,,,,4983.0,14544.0,,,13789.0,,,18528.0,,28010.0,,
2013-03-06,3916.0,,,42243.0,10024.0,6537.0,28475.0,,,1600.0,3604.0,59195.0,,,4473.0,,,,5070.0,14883.0,,,14051.0,,,18528.0,,28554.0,,
2013-03-07,3892.0,,,39896.0,10077.0,6500.0,28289.0,,,1657.0,3604.0,57651.0,,,4473.0,,,,5041.0,14136.0,,,14051.0,,,18107.0,,28554.0,,
2013-03-08,3939.0,,,41069.0,10344.0,6645.0,28289.0,,,1671.0,3604.0,59195.0,,,4473.0,,,,5099.0,14272.0,,,14095.0,,,18247.0,,28282.0,,
2013-03-11,3939.0,,,40287.0,10557.0,6753.0,28289.0,,,1734.0,3631.0,59710.0,,,4473.0,,,,5273.0,14883.0,,,14051.0,,,18528.0,,28554.0,,
2013-03-12,3963.0,,,41069.0,10451.0,6753.0,28413.0,,,1783.0,3631.0,60224.0,,,4473.0,,,,5215.0,14816.0,,,14095.0,,,17826.0,,28282.0,,
2013-03-13,3939.0,,,39896.0,10397.0,6699.0,28413.0,,,1727.0,3604.0,60224.0,,,4473.0,,,,5157.0,14408.0,,,14182.0,,,17826.0,,28282.0,,
2013-03-14,3939.0,,,39896.0,10131.0,6735.0,28413.0,,,1762.0,3576.0,60224.0,,,4450.0,,,,5157.0,14883.0,,,13964.0,,,17967.0,,28282.0,,
