TradingDate,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2013-01-02,4154.0,,,31526.0,11250.0,6609.0,24194.0,,,1488.0,3604.0,53018.0,,,4087.0,,,,4925.0,13660.0,,,11697.0,,,17440.0,,23931.0,,
2013-01-03,4250.0,,,33090.0,11197.0,6609.0,24505.0,,,1495.0,3631.0,53018.0,,,4087.0,,,,4867.0,13932.0,,,11991.0,,,17014.0,,23795.0,,
2013-01-04,4107.0,,,34733.0,11357.0,6573.0,24939.0,,,1565.0,3604.0,52503.0,,,4087.0,,,,4867.0,14136.0,,,12412.0,,,17121.0,,23931.0,,
2013-01-07,4178.0,,,36454.0,11464.0,6591.0,25001.0,,,1621.0,3631.0,55077.0,,,4246.0,,,,4925.0,14612.0,,,12622.0,,,17865.0,,24203.0,,
2013-01-08,4178.0,,,38253.0,11357.0,6862.0,25683.0,,,1699.0,3769.0,56621.0,,,4246.0,,,,5041.0,14883.0,,,13254.0,,,18078.0,,25018.0,,
2013-01-09,4345.0,,,39896.0,11730.0,7205.0,25869.0,,,1692.0,3906.0,59195.0,,,4269.0,,,,5244.0,15495.0,,,13338.0,,,17971.0,,26242.0,,
2013-01-10,4369.0,,,38175.0,12157.0,7187.0,25311.0,,,1685.0,3824.0,61769.0,,,4427.0,,,,5186.0,15767.0,,,13674.0,,,17652.0,,27194.0,,
2013-01-11,4536.0,,,39505.0,12370.0,7169.0,26552.0,,,1699.0,3934.0,64342.0,,,4223.0,,,,5331.0,15699.0,,,13843.0,,,17971.0,,28282.0,,
2013-01-14,4393.0,,,36141.0,11837.0,6952.0,27855.0,,,1657.0,3851.0,61254.0,,,4382.0,,,,5302.0,15291.0,,,13422.0,,,17865.0,,27738.0,,
2013-01-15,4369.0,,,35906.0,11944.0,6988.0,27420.0,,,1642.0,3961.0,59710.0,,,4359.0,,,,5418.0,15155.0,,,13464.0,,,18184.0,,27466.0,,
2013-01-16,4489.0,,,36845.0,12263.0,7078.0,27482.0,,,1720.0,3989.0,59710.0,,,4359.0,,,,5505.0,15155.0,,,13843.0,,,18184.0,,27466.0,,
2013-01-17,4393.0,,,36689.0,12104.0,6988.0,27172.0,,,1657.0,3989.0,59710.0,,,4359.0,,,,5389.0,15155.0,,,13674.0,,,18184.0,,27058.0,,
2013-01-18,4274.0,,,35985.0,11837.0,6880.0,26366.0,,,1614.0,3906.0,58680.0,,,4382.0,,,,5244.0,15291.0,,,13464.0,,,18184.0,,26786.0,,
2013-01-21,4250.0,,,35202.0,11677.0,6862.0,25931.0,,,1607.0,3989.0,57651.0,,,4382.0,,,,5302.0,15155.0,,,13338.0,,,18184.0,,26786.0,,
2013-01-22,4202.0,,,34342.0,11464.0,6844.0,25931.0,,,1558.0,3851.0,56106.0,,,4382.0,,,,5215.0,15019.0,,,13127.0,,,18809.0,,26514.0,,
2013-01-23,4083.0,,,34420.0,11464.0,6735.0,25559.0,,,1537.0,3796.0,55077.0,,,4496.0,,,,5070.0,15019.0,,,12875.0,,,18668.0,,27466.0,,
