TradingDate,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2013-01-02,3892.0,,,30900.0,10877.0,6374.0,23946.0,,,1460.0,3466.0,51474.0,,,3996.0,,,,4781.0,13320.0,,,11444.0,,,16802.0,,23659.0,,
2013-01-03,3987.0,,,31995.0,10930.0,6374.0,24070.0,,,1460.0,3494.0,50959.0,,,4087.0,,,,4694.0,13524.0,,,11360.0,,,16802.0,,23387.0,,
2013-01-04,3987.0,,,33090.0,10984.0,6428.0,24194.0,,,1488.0,3494.0,51988.0,,,4087.0,,,,4694.0,13660.0,,,11697.0,,,16802.0,,23387.0,,
2013-01-07,4059.0,,,36376.0,11144.0,6500.0,24753.0,,,1488.0,3549.0,51474.0,,,4246.0,,,,4809.0,13728.0,,,11781.0,,,17121.0,,23931.0,,
2013-01-08,4035.0,,,37549.0,11144.0,6537.0,24567.0,,,1664.0,3576.0,54562.0,,,4246.0,,,,4781.0,14340.0,,,12664.0,,,17759.0,,23931.0,,
2013-01-09,4083.0,,,36376.0,11304.0,6952.0,24753.0,,,1621.0,3659.0,58680.0,,,4269.0,,,,4983.0,14680.0,,,12622.0,,,17652.0,,25426.0,,
2013-01-10,4226.0,,,34576.0,11464.0,6970.0,24753.0,,,1614.0,3659.0,58680.0,,,4427.0,,,,4954.0,15223.0,,,12917.0,,,17227.0,,25834.0,,
2013-01-11,4345.0,,,36767.0,11890.0,7006.0,25435.0,,,1657.0,3824.0,61769.0,,,4223.0,,,,5157.0,15495.0,,,13464.0,,,17546.0,,27466.0,,
2013-01-14,4226.0,,,34968.0,11570.0,6789.0,26490.0,,,1628.0,3714.0,59195.0,,,4019.0,,,,5099.0,15087.0,,,12959.0,,,17652.0,,26786.0,,
2013-01-15,4202.0,,,33012.0,11570.0,6807.0,26738.0,,,1607.0,3851.0,57651.0,,,4087.0,,,,5157.0,14951.0,,,13127.0,,,17759.0,,26922.0,,
2013-01-16,4321.0,,,35202.0,11944.0,6898.0,26800.0,,,1614.0,3906.0,58680.0,,,4269.0,,,,5331.0,14951.0,,,13254.0,,,17759.0,,26922.0,,
2013-01-17,4274.0,,,34420.0,11784.0,6880.0,26055.0,,,1607.0,3879.0,57136.0,,,4064.0,,,,5244.0,14951.0,,,13254.0,,,17971.0,,26650.0,,
2013-01-18,4154.0,,,34029.0,11624.0,6807.0,25745.0,,,1565.0,3796.0,55592.0,,,4382.0,,,,5099.0,14816.0,,,13211.0,,,17971.0,,26242.0,,
2013-01-21,4154.0,,,34029.0,11410.0,6771.0,25187.0,,,1558.0,3824.0,55077.0,,,4382.0,,,,5128.0,14951.0,,,12959.0,,,17865.0,,26242.0,,
2013-01-22,4011.0,,,32230.0,11197.0,6555.0,25001.0,,,1488.0,3714.0,54562.0,,,4382.0,,,,4925.0,14748.0,,,12875.0,,,18107.0,,25970.0,,
2013-01-23,3939.0,,,32777.0,11090.0,6663.0,25063.0,,,1502.0,3686.0,53533.0,,,4496.0,,,,4925.0,14816.0,,,12496.0,,,18247.0,,26650.0,,
