TradingDate,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2013-01-02,3892.0,,,31134.0,11090.0,6374.0,24008.0,,,1474.0,3466.0,53018.0,,,4087.0,,,,4781.0,13524.0,,,11444.0,,,16908.0,,23795.0,,
2013-01-03,4178.0,,,32777.0,11197.0,6573.0,24194.0,,,1474.0,3631.0,53018.0,,,4087.0,,,,4838.0,13660.0,,,11739.0,,,17014.0,,23659.0,,
2013-01-04,4035.0,,,33247.0,11090.0,6446.0,24629.0,,,1502.0,3549.0,51988.0,,,4087.0,,,,4723.0,13932.0,,,11781.0,,,17014.0,,23387.0,,
2013-01-07,4059.0,,,36454.0,11464.0,6537.0,24815.0,,,1488.0,3576.0,52503.0,,,4246.0,,,,4867.0,14068.0,,,11781.0,,,17121.0,,23931.0,,
2013-01-08,4083.0,,,38253.0,11197.0,6555.0,24691.0,,,1685.0,3576.0,54562.0,,,4246.0,,,,4781.0,14612.0,,,12875.0,,,17971.0,,23931.0,,
2013-01-09,4083.0,,,39896.0,11730.0,7205.0,25559.0,,,1621.0,3851.0,59195.0,,,4269.0,,,,5157.0,14883.0,,,12664.0,,,17971.0,,26242.0,,
2013-01-10,4321.0,,,34655.0,11464.0,6988.0,24877.0,,,1621.0,3686.0,60224.0,,,4427.0,,,,5012.0,15495.0,,,13380.0,,,17652.0,,25970.0,,
2013-01-11,4536.0,,,39505.0,12263.0,7132.0,25435.0,,,1685.0,3851.0,64342.0,,,4223.0,,,,5331.0,15699.0,,,13843.0,,,17971.0,,27738.0,,
2013-01-14,4393.0,,,35985.0,11677.0,6898.0,26552.0,,,1628.0,3796.0,61254.0,,,4019.0,,,,5157.0,15291.0,,,13254.0,,,17865.0,,27466.0,,
2013-01-15,4345.0,,,34811.0,11837.0,6807.0,27420.0,,,1621.0,3851.0,59710.0,,,4087.0,,,,5215.0,14951.0,,,13211.0,,,18078.0,,26922.0,,
2013-01-16,4345.0,,,35359.0,11997.0,6970.0,26800.0,,,1635.0,3934.0,59710.0,,,4269.0,,,,5418.0,15019.0,,,13254.0,,,18078.0,,27194.0,,
2013-01-17,4345.0,,,36376.0,12104.0,6952.0,27110.0,,,1650.0,3934.0,58165.0,,,4064.0,,,,5360.0,14951.0,,,13674.0,,,18078.0,,27058.0,,
2013-01-18,4274.0,,,35515.0,11837.0,6825.0,26055.0,,,1614.0,3879.0,58680.0,,,4382.0,,,,5215.0,14951.0,,,13464.0,,,18078.0,,26650.0,,
2013-01-21,4250.0,,,34968.0,11677.0,6825.0,25931.0,,,1579.0,3879.0,57136.0,,,4382.0,,,,5273.0,14951.0,,,12959.0,,,17971.0,,26650.0,,
2013-01-22,4178.0,,,33638.0,11357.0,6807.0,25125.0,,,1544.0,3824.0,56106.0,,,4382.0,,,,5157.0,14748.0,,,13127.0,,,18809.0,,26106.0,,
2013-01-23,4035.0,,,33638.0,11357.0,6663.0,25559.0,,,1502.0,3769.0,54562.0,,,4496.0,,,,4983.0,14816.0,,,12538.0,,,18388.0,,26650.0,,
2013-01-24,4107.0,,,33247.0,11197.0,6735.0,25249.0,,,1523.0,3769.0,54047.0,,,4496.0,,,,5041.0,14951.0,,,12833.0,,,18388.0,,26650.0,,
2013-01-25,4178.0,,,36297.0,11464.0,6934.0,26180.0,,,1642.0,3824.0,56106.0,,,4496.0,,,,5215.0,14951.0,,,13043.0,,,18388.0,,26922.0,,
2013-01-28,4226.0,,,39505.0,12370.0,7132.0,29157.0,,,1671.0,3824.0,58680.0,,,4496.0,,,,5389.0,15019.0,,,13674.0,,,18949.0,,27194.0,,
2013-01-29,4226.0,,,40287.0,11890.0,7169.0,27979.0,,,1671.0,3851.0,61254.0,,,4496.0,,,,5476.0,15223.0,,,13843.0,,,18809.0,,28282.0,,
2013-01-30,4298.0,,,42243.0,12530.0,7223.0,28723.0,,,1720.0,3851.0,62798.0,,,4200.0,,,,5534.0,15631.0,,,14305.0,,,18809.0,,28010.0,,
2013-01-31,4202.0,,,41852.0,12423.0,7331.0,28475.0,,,1762.0,3851.0,62798.0,,,4314.0,,,,5447.0,15291.0,,,14095.0,,,18528.0,,27738.0,,
2013-02-01,4178.0,,,40287.0,12210.0,7223.0,27606.0,,,1741.0,3824.0,60739.0,,,4314.0,,,,5360.0,15495.0,,,14221.0,,,18668.0,,27194.0,,
2013-02-04,4226.0,,,45372.0,12530.0,7187.0,28537.0,,,1734.0,3824.0,62283.0,,,4314.0,,,,5447.0,15359.0,,,14432.0,,,18809.0,,27738.0,,
2013-02-05,4202.0,,,44590.0,12263.0,7060.0,28537.0,,,1685.0,3796.0,59710.0,,,4314.0,,,,5360.0,15495.0,,,14179.0,,,18809.0,,27738.0,,
