TradingDate,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2013-01-02,2578600.0,,,312150.0,885890.0,380320.0,90770.0,,,541540.0,3467810.0,2050.0,,,30.0,,,,2474280.0,252100.0,,,168190.0,,,106720.0,,199930.0,,
2013-01-03,1967200.0,,,1198550.0,935770.0,366960.0,1618510.0,,,720080.0,2020300.0,50760.0,,,0.0,,,,2733270.0,260820.0,,,500650.0,,,118830.0,,146370.0,,
2013-01-04,1170100.0,,,507990.0,627400.0,278020.0,1318980.0,,,569620.0,1401390.0,21720.0,,,10.0,,,,2132210.0,271370.0,,,501540.0,,,162880.0,,147250.0,,
2013-01-07,1355700.0,,,160150.0,1796680.0,204570.0,701600.0,,,926020.0,1625590.0,224230.0,,,10.0,,,,2252310.0,825340.0,,,1312740.0,,,370650.0,,135530.0,,
2013-01-08,2180000.0,,,745150.0,756690.0,535860.0,871680.0,,,1480180.0,5318350.0,225320.0,,,0.0,,,,4216410.0,531040.0,,,1035220.0,,,363210.0,,629670.0,,
2013-01-09,3861400.0,,,899740.0,1476400.0,1588500.0,1192690.0,,,1877280.0,4792010.0,109840.0,,,100.0,,,,5797920.0,787950.0,,,1583320.0,,,81350.0,,455050.0,,
2013-01-10,880700.0,,,1482200.0,1530930.0,607050.0,286010.0,,,962800.0,2494950.0,229030.0,,,10.0,,,,2255250.0,507330.0,,,645400.0,,,120980.0,,593410.0,,
2013-01-11,806200.0,,,500180.0,870080.0,614810.0,1009650.0,,,849600.0,3715250.0,100590.0,,,3060.0,,,,3875980.0,272820.0,,,432980.0,,,171140.0,,362160.0,,
2013-01-14,614300.0,,,776550.0,384230.0,499600.0,504790.0,,,396190.0,2037060.0,70350.0,,,410.0,,,,2817430.0,423090.0,,,384930.0,,,215400.0,,371220.0,,
2013-01-15,1310500.0,,,652740.0,473080.0,357880.0,476420.0,,,989300.0,3057300.0,63030.0,,,40.0,,,,3048860.0,679570.0,,,509000.0,,,160930.0,,192400.0,,
2013-01-16,1346900.0,,,550030.0,323980.0,368380.0,1560150.0,,,2347480.0,4070240.0,21320.0,,,6150.0,,,,2094470.0,478090.0,,,449000.0,,,237940.0,,215810.0,,
2013-01-17,1068300.0,,,332240.0,205190.0,292200.0,505310.0,,,837430.0,2785960.0,87070.0,,,30.0,,,,2908600.0,140520.0,,,358750.0,,,137110.0,,291160.0,,
2013-01-18,679700.0,,,422620.0,400750.0,362960.0,550040.0,,,344660.0,4014940.0,45180.0,,,500.0,,,,2452790.0,180850.0,,,299790.0,,,205380.0,,206860.0,,
2013-01-21,341900.0,,,226380.0,257050.0,119000.0,745790.0,,,697920.0,2241840.0,54360.0,,,0.0,,,,1661850.0,121360.0,,,269410.0,,,133100.0,,75950.0,,
2013-01-22,738000.0,,,457370.0,290790.0,373240.0,864580.0,,,801790.0,1691970.0,52690.0,,,0.0,,,,2162460.0,131750.0,,,184710.0,,,200700.0,,246990.0,,
2013-01-23,331100.0,,,429720.0,307960.0,192530.0,151470.0,,,343880.0,912980.0,39270.0,,,10.0,,,,1425160.0,210140.0,,,530180.0,,,305690.0,,250560.0,,
2013-01-24,333700.0,,,439670.0,187140.0,141650.0,1013370.0,,,829460.0,690290.0,4050.0,,,0.0,,,,1263620.0,129270.0,,,211230.0,,,248840.0,,160380.0,,
2013-01-25,786500.0,,,839880.0,1073500.0,787540.0,976320.0,,,1009460.0,1045450.0,37620.0,,,0.0,,,,3449360.0,368970.0,,,426490.0,,,352190.0,,430810.0,,
2013-01-28,1135900.0,,,862260.0,796030.0,558550.0,868650.0,,,2762600.0,3581900.0,92680.0,,,0.0,,,,4754420.0,1033880.0,,,453400.0,,,331350.0,,657030.0,,
2013-01-29,572800.0,,,1037470.0,954260.0,207130.0,831050.0,,,1651520.0,1889520.0,54430.0,,,0.0,,,,2148400.0,1079090.0,,,915570.0,,,312550.0,,273610.0,,
2013-01-30,823600.0,,,538790.0,1153000.0,689630.0,422340.0,,,2172950.0,2153660.0,240310.0,,,10.0,,,,2005370.0,679320.0,,,767730.0,,,596680.0,,245500.0,,
2013-01-31,860100.0,,,953990.0,974180.0,366670.0,409050.0,,,1160050.0,1224200.0,197090.0,,,100.0,,,,2437540.0,282870.0,,,321460.0,,,131930.0,,169570.0,,
2013-02-01,583900.0,,,884370.0,677210.0,323300.0,354500.0,,,1087160.0,582500.0,186060.0,,,0.0,,,,1581680.0,550710.0,,,433080.0,,,188520.0,,277990.0,,
2013-02-04,387200.0,,,519670.0,252500.0,166570.0,373810.0,,,1102750.0,692890.0,67130.0,,,10.0,,,,1165800.0,132860.0,,,214910.0,,,244350.0,,117260.0,,
2013-02-05,602000.0,,,561500.0,228640.0,183200.0,264910.0,,,843750.0,1047720.0,154830.0,,,0.0,,,,1003820.0,284470.0,,,288720.0,,,741040.0,,432970.0,,
2013-02-06,542700.0,,,730270.0,788620.0,90900.0,472350.0,,,1449490.0,708940.0,247050.0,,,100.0,,,,1261810.0,624050.0,,,983270.0,,,175610.0,,187250.0,,
2013-02-07,457800.0,,,445630.0,261460.0,155490.0,373420.0,,,2242560.0,626850.0,26630.0,,,10.0,,,,1313760.0,159560.0,,,121570.0,,,104460.0,,105610.0,,
2013-02-08,388500.0,,,207000.0,423540.0,92170.0,365340.0,,,752510.0,1154240.0,2980.0,,,0.0,,,,1281420.0,166030.0,,,232830.0,,,96950.0,,78380.0,,
2013-02-18,469400.0,,,174690.0,285890.0,131010.0,346920.0,,,1322060.0,2183370.0,61970.0,,,100.0,,,,1941090.0,40660.0,,,228560.0,,,117770.0,,125690.0,,
2013-02-19,440200.0,,,468680.0,1032760.0,168260.0,647860.0,,,1309920.0,3043840.0,17170.0,,,0.0,,,,2381710.0,582030.0,,,529020.0,,,463190.0,,185290.0,,
2013-02-20,794100.0,,,293700.0,796150.0,171590.0,699390.0,,,1224050.0,810230.0,95210.0,,,750.0,,,,2172780.0,252830.0,,,394040.0,,,145770.0,,466760.0,,
2013-02-21,1450600.0,,,353260.0,250660.0,307570.0,899530.0,,,2332340.0,1295440.0,104960.0,,,10.0,,,,2882510.0,202880.0,,,375710.0,,,91840.0,,236050.0,,
2013-02-22,725900.0,,,437250.0,552820.0,337970.0,689770.0,,,1422600.0,2559730.0,22330.0,,,0.0,,,,3612190.0,258070.0,,,518270.0,,,109240.0,,348530.0,,
2013-02-25,279200.0,,,259480.0,609200.0,143330.0,109600.0,,,806200.0,635190.0,23960.0,,,0.0,,,,831410.0,161960.0,,,178380.0,,,60860.0,,167680.0,,
2013-02-26,1170100.0,,,354580.0,1472580.0,285040.0,556910.0,,,1295340.0,1210770.0,62620.0,,,100.0,,,,2574750.0,139870.0,,,240960.0,,,145630.0,,193660.0,,
2013-02-27,579700.0,,,352660.0,790150.0,283110.0,365170.0,,,1290490.0,894980.0,105190.0,,,0.0,,,,1856640.0,215070.0,,,259470.0,,,115050.0,,129120.0,,
2013-02-28,120800.0,,,235610.0,2846940.0,191070.0,183820.0,,,545070.0,658650.0,110280.0,,,0.0,,,,1367940.0,166500.0,,,327730.0,,,551700.0,,161170.0,,
2013-03-01,183700.0,,,446680.0,1126250.0,96880.0,314740.0,,,735390.0,347490.0,6430.0,,,100.0,,,,1109840.0,246750.0,,,269070.0,,,132410.0,,91290.0,,
2013-03-04,493100.0,,,375750.0,1034400.0,225550.0,264030.0,,,1297130.0,653150.0,38900.0,,,100.0,,,,1866190.0,403530.0,,,371070.0,,,379190.0,,138270.0,,
2013-03-05,308000.0,,,252240.0,1249550.0,194960.0,89560.0,,,999030.0,545480.0,41290.0,,,0.0,,,,1773310.0,165660.0,,,215070.0,,,201440.0,,207890.0,,
2013-03-06,126600.0,,,249400.0,898730.0,60350.0,39940.0,,,362260.0,391390.0,10840.0,,,100.0,,,,549630.0,158750.0,,,157520.0,,,94290.0,,266470.0,,
