,ACB,BID,BVH,CTG,FPT,GAS,HDB,HPG,MBB,MSN,MWG,PDR,SSI,STB,TCB,TPB,VCB,VIB,VIC,VNM,VPB
0,TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN
1,"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",TÀI SẢN NGẮN HẠN,"Tiền mặt, vàng bạc, đá quý",TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,"Tiền mặt, vàng bạc, đá quý",TÀI SẢN NGẮN HẠN,"Tiền mặt, vàng bạc, đá quý",TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,"Tiền mặt, vàng bạc, đá quý"
2,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền và tương đương tiền ,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền và tương đương tiền,Tiền và tương đương tiền,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền và tương đương tiền,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền và tương đương tiền,Tiền và tương đương tiền,Tiền và tương đương tiền,Tài sản tài chính ngắn hạn,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền và tương đương tiền,Tiền và tương đương tiền,Tiền gửi tại Ngân hàng nhà nước Việt Nam
3,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Tiền  ,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Tiền,Tiền,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Tiền,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Tiền,Tiền,Tiền,Tiền và tương đương tiền ,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Tiền,Tiền,Tiền gửi tại các TCTD khác và cho vay các TCTD khác
4,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Các khoản tương đương tiền,Chứng khoán kinh doanh,Các khoản tương đương tiền,Các khoản tương đương tiền,Chứng khoán kinh doanh,Các khoản tương đương tiền,Chứng khoán kinh doanh,Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,Tiền,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Các khoản tương đương tiền,Các khoản tương đương tiền,Chứng khoán kinh doanh
5,    Chứng khoán kinh doanh,    Chứng khoán kinh doanh,Đầu tư tài chính ngắn hạn,    Chứng khoán kinh doanh,Giá trị thuần đầu tư ngắn hạn,Giá trị thuần đầu tư ngắn hạn,    Chứng khoán kinh doanh,Giá trị thuần đầu tư ngắn hạn,    Chứng khoán kinh doanh,Giá trị thuần đầu tư ngắn hạn,Giá trị thuần đầu tư ngắn hạn,Giá trị thuần đầu tư ngắn hạn,Các khoản tương đương tiền,    Chứng khoán kinh doanh,    Chứng khoán kinh doanh,    Chứng khoán kinh doanh,    Chứng khoán kinh doanh,    Chứng khoán kinh doanh,Giá trị thuần đầu tư ngắn hạn,Giá trị thuần đầu tư ngắn hạn,    Chứng khoán kinh doanh
6,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Đầu tư ngắn hạn ,Dự phòng giảm giá chứng khoán kinh doanh,Đầu tư ngắn hạn,Đầu tư ngắn hạn,Dự phòng giảm giá chứng khoán kinh doanh,Đầu tư ngắn hạn,Dự phòng giảm giá chứng khoán kinh doanh,Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,Giá trị thuần đầu tư tài sản tài chính ngắn hạn ,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Đầu tư ngắn hạn,Đầu tư ngắn hạn,Dự phòng giảm giá chứng khoán kinh doanh
7,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Dự phòng đầu tư ngắn hạn,Dự phòng đầu tư ngắn hạn,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Dự phòng đầu tư ngắn hạn,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Dự phòng đầu tư ngắn hạn,Dự phòng đầu tư ngắn hạn,Dự phòng đầu tư ngắn hạn,Các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),Các công cụ tài chính phái sinh và các tài sản tài chính khác,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Dự phòng đầu tư ngắn hạn,Dự phòng đầu tư ngắn hạn,Các công cụ tài chính phái sinh và các tài sản tài chính khác
8,Cho vay khách hàng,Cho vay khách hàng,Đầu tư nắm giữ đến ngày đáo hạn,Cho vay khách hàng,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Cho vay khách hàng,Chứng khoán đầu tư giữ đến ngày đáo hạn,Cho vay khách hàng,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Cho vay khách hàng
9,  Cho vay khách hàng,  Cho vay khách hàng,Các khoản phải thu ,  Cho vay khách hàng,Các khoản phải thu,Các khoản phải thu,  Cho vay khách hàng,Các khoản phải thu,  Cho vay khách hàng,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản cho vay,  Cho vay khách hàng,  Cho vay khách hàng,  Cho vay khách hàng,  Cho vay khách hàng,  Cho vay khách hàng,Các khoản phải thu,Các khoản phải thu,  Cho vay khách hàng
